name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Papás,Mau y Ricky,2pI0OyprOJssVYlqx9ZO3t,0.785,0.847,-3.182,0.0904,0.083,93.024,0.101,0.932
Tattoo - Remix with Camilo,Rauw Alejandro,4ZRrLHqzhGRXYj2qcB4s5S,0.848,0.637,-5.132,0.156,0.0413,96.988,0.0521,0.698
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1pqnQ41XbfKjaFu6M0eGJp,0.76,0.658,-5.275,0.275,0.162,100.202,0.195,0.565
Hasta Que Dios Diga,Anuel AA,06s3QtMJVXw1AJX3UfvZG1,0.691,0.765,-4.727,0.111,0.464,174.021,0.203,0.855
+Linda,Dalex,5cBrOhKDyiJF9bPGUHKkG0,0.66,0.503,-5.501,0.34,0.131,175.896,0.13,0.396
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,7lUdbnz7wsv3C9zzf4WHl9,0.793,0.737,-4.731,0.0785,0.0765,167.969,0.0747,0.697
Mi Cuarto,Jerry Di,6fmQjRuo7XvRFCK2qex5hQ,0.854,0.525,-4.426,0.214,0.819,97.054,0.146,0.63
Dembow 2020,Yandel,0j1VxrPkMyFGvz0jZzxUoZ,0.786,0.811,-4.31,0.0836,0.122,92.953,0.161,0.731
Reggaetonera,Anuel AA,6yVkakCN460KOVol9ZazjH,0.694,0.796,-4.164,0.0565,0.48,93.064,0.108,0.515
Confía,Sech,5kbps8unnGH4raN5WduZuq,0.722,0.757,-3.592,0.0782,0.17,167.987,0.0657,0.763
Que Mal Te Fue,Natti Natasha,2btKz4s1XrMn5VHe7xZJpi,0.782,0.706,-4.337,0.19,0.0941,173.899,0.115,0.855
Anaranjado,Jowell & Randy,5iw28wvyHgj4ppOu5AdcEU,0.763,0.58,-6.196,0.144,0.0466,175.937,0.154,0.608
Quiéreme Mientras Se Pueda,Manuel Turizo,34LI7rwi9H8w2S5KTHnv1M,0.793,0.782,-3.945,0.0582,0.447,143.86,0.124,0.81
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,6C6mUonH6MNdSg5pw7kOc9,0.752,0.716,-5.2,0.0325,0.254,117.007,0.243,0.553
La Tóxica,Farruko,15OjBeqNX3bShsGYQbteRv,0.659,0.701,-4.107,0.164,0.0882,91.97,0.0866,0.623
El Mismo Aire - con Pablo Alborán,Camilo,5EbtodsuLbxrFDH6j5avVS,0.483,0.492,-6.591,0.295,0.603,144.511,0.323,0.66
Jeans,Justin Quiles,3GtnId3Cm1Xa6joCj08nzW,0.807,0.656,-4.395,0.105,0.0165,83.943,0.0693,0.89
Tócame (feat. Arcangel & De La Ghetto),Anitta,4cno0k9jDEFpLAQyHNjqVx,0.785,0.74,-5.374,0.172,0.0205,100.057,0.22,0.746
Nada,Cali Y El Dandee,4K8cyoCDovlc4FvtUr2Hfx,0.684,0.808,-2.737,0.061,0.0518,173.905,0.0858,0.712
Más De Lo Que Aposté,Aitana,00QBHaaP4KUcjlmxWriMbC,0.621,0.918,-3.01,0.0552,0.0754,151.988,0.13,0.834
Mamichula - con Nicki Nicole,Trueno,4pXW6ZAHBz7ODXTRKklWrM,0.696,0.678,-5.893,0.0735,0.582,91.985,0.134,0.346
Parce (feat. Justin Quiles),Maluma,4RJz8NfIe09gpKMiRUWKhJ,0.691,0.739,-3.09,0.229,0.422,83.897,0.11,0.884
Carita de Inocente (feat. Myke Towers) - Remix,Prince Royce,5kQre7o8ky5DXeEPcyaCR1,0.565,0.781,-3.358,0.061,0.364,129.959,0.0984,0.943
Cuenta Conmigo (feat. Mozart La Para),Mike Bahía,3KvK89jd2onVdthF4hZNN4,0.898,0.677,-4.608,0.127,0.132,143.913,0.132,0.958
